
organism_name
Boreogadus saida
Stictonetta naevosa
Motacilla alba
Morone chrysops
Morone chrysops
Pseudosimochromis marginatus
Pseudosimochromis marginatus
Pseudosimochromis marginatus
Pseudosimochromis marginatus
Neogobius melanostomus
Menura novaehollandiae
Climacteris rufus
Neoniphon sammara
Oreochromis aureus
Oreochromis aureus
Oreochromis aureus
Sylvia atricapilla
Sylvia atricapilla
Sylvia atricapilla
Calotes versicolor
Aegotheles bennettii
Crypturellus undulatus
Cygnus buccinator
Nyctibius bracteatus
Nyctibius grandis
Nyctibius grandis
Nyctibius grandis
Steatornis caripensis
Rutilus rutilus
Rutilus rutilus
Poecilia formosa
Poecilia formosa
Poecilia formosa
Poecilia latipinna
Poecilia mexicana
Passer domesticus
Geospiza fortis
Poecile atricapillus
Poecile atricapillus
Sitta europaea
Charadrius alexandrinus
Charadrius vociferus
Spondyliosoma cantharus
Colaptes auratus
Brachyrhaphis roseni
Brachyrhaphis terrabensis
Cyprichromis leptosoma
Cyprichromis leptosoma
Anodorhynchus hyacinthinus
Guaruba guarouba
Oophaga pumilio
Shinisaurus crocodilurus
Pseudochaenichthys georgianus
Pseudochaenichthys georgianus
Phrynosoma platyrhinos
Cisticola juncidis
Haliaeetus leucocephalus
Haliaeetus pelagicus
Aphyosemion australe
Pachypanchax playfairii
Austrofundulus limnaeus
Ciconia boyciana
Ciconia maguari
Ciconia maguari
Ciconia maguari
Scophthalmus maximus
Scophthalmus maximus
Scophthalmus maximus
Scophthalmus maximus
Scophthalmus maximus
Eretmodus cyanostictus
Eretmodus cyanostictus
Spathodus erythrodon
Spathodus erythrodon
Spathodus marlieri
Spathodus marlieri
Thalassarche chlororhynchos
Phoebastria albatrus
Stercorarius parasiticus
Percina caprodes
Etheostoma spectabile
Aramus guarauna
Psophia crepitans
Heliornis fulica
Mesitornis unicolor
Cariama cristata
Cariama cristata
Cariama cristata
Eurypyga helias
Rhynochetos jubatus
Jacana jacana
Arenaria interpres
Alfaro cultratus
Girardinus metallicus
Limnothrissa miodon
Polypterus senegalus
Polypterus senegalus
Apalone spinifera
Platysternon megacephalum
Dermatemys mawii
Cuculus canorus
Cuculus canorus
Cuculus canorus
Anhinga anhinga
Sula dactylatra
Phalacrocorax auritus
Sagittarius serpentarius
Pandion haliaetus
Trogon melanurus
Tyto alba
Tyto alba
Lanius collurio
Herpetotheres cachinnans
Phylloscopus plumbeitarsus
Cottoperca gobio
Cottoperca gobio
Labrus bergylta
Pholis gunnellus
Pholis gunnellus
Neolamprologus meeli
Neolamprologus meeli
Eleutherodactylus coqui
Acanthisitta chloris
Acanthisitta chloris
Acanthisitta chloris
Ara militaris
Eudyptes schlegeli
Psittacus erithacus
Labeotropheus fuelleborni
Apaloderma vittatum
Colius striatus
Merops nubicus
Merops nubicus
Merops nubicus
Upupa epops
Rhodinocichla rosea
