28743;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Cyprinodontidae;Cyprinodon;Cyprinodon variegatus
28829;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Solea;Solea senegalensis
29144;Eukaryota;Chordata;Actinopteri;Gonorynchiformes;Chanidae;Chanos;Chanos chanos
30331;Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Bufo;Bufo gargarizans
30410;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Lagopus;Lagopus leucura
30419;Eukaryota;Chordata;Aves;Opisthocomiformes;Opisthocomidae;Opisthocomus;Opisthocomus hoazin
30455;Eukaryota;Chordata;Aves;Procellariiformes;Procellariidae;Fulmarus;Fulmarus glacialis
30464;Eukaryota;Chordata;Aves;Tinamiformes;Tinamidae;Nothoprocta;Nothoprocta perdicaria
30732;Eukaryota;Chordata;Actinopteri;Beloniformes;Adrianichthyidae;Oryzias;Oryzias melastigma
31033;Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Takifugu;Takifugu rubripes
34903;Eukaryota;Chordata;;Testudines;Emydidae;Trachemys;Trachemys scripta
32473;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Xiphophorus;Xiphophorus couchianus
32507;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Neolamprologus;Neolamprologus brichardi
33528;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Gambusia;Gambusia affinis
34773;Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima
34816;Eukaryota;Chordata;Actinopteri;;Moronidae;Morone;Morone saxatilis
35005;Eukaryota;Chordata;Lepidosauria;Squamata;Colubridae;Thamnophis;Thamnophis elegans
35019;Eukaryota;Chordata;Lepidosauria;Squamata;Colubridae;Thamnophis;Thamnophis sirtalis
36176;Eukaryota;Chordata;Chondrichthyes;Orectolobiformes;Hemiscylliidae;Chiloscyllium;Chiloscyllium plagiosum
36300;Eukaryota;Chordata;Aves;Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus crispus
37003;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Rivulidae;Kryptolebias;Kryptolebias marmoratus
37040;Eukaryota;Chordata;Aves;Gaviiformes;Gaviidae;Gavia;Gavia stellata
38654;Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator sinensis
40690;Eukaryota;Chordata;Actinopteri;Perciformes;Nototheniidae;Trematomus;Trematomus bernacchii
41447;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola dumerili
42514;Eukaryota;Chordata;Actinopteri;Characiformes;Serrasalmidae;Pygocentrus;Pygocentrus nattereri
42526;Eukaryota;Chordata;Actinopteri;Characiformes;Serrasalmidae;Colossoma;Colossoma macropomum
43150;Eukaryota;Chordata;Aves;Passeriformes;Hirundinidae;Hirundo;Hirundo rustica
43689;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Simochromis;Simochromis diagramma
43700;Eukaryota;Chordata;Actinopteri;Synbranchiformes;Synbranchidae;Monopterus;Monopterus albus
44394;Eukaryota;Chordata;Aves;Passeriformes;Passerellidae;Zonotrichia;Zonotrichia albicollis
47969;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;Oreochromis aureus
48698;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Poecilia;Poecilia formosa
48699;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Poecilia;Poecilia latipinna
48701;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Poecilia;Poecilia mexicana
48883;Eukaryota;Chordata;Aves;Passeriformes;Thraupidae;Geospiza;Geospiza fortis
50402;Eukaryota;Chordata;Aves;Charadriiformes;Charadriidae;Charadrius;Charadrius vociferus
52239;Eukaryota;Chordata;Actinopteri;Perciformes;Channichthyidae;Pseudochaenichthys;Pseudochaenichthys georgianus
52644;Eukaryota;Chordata;Aves;Accipitriformes;Accipitridae;Haliaeetus;Haliaeetus leucocephalus
52670;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Rivulidae;Austrofundulus;Austrofundulus limnaeus
52904;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Scophthalmidae;Scophthalmus;Scophthalmus maximus
54343;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma;Etheostoma spectabile
54374;Eukaryota;Chordata;Aves;Gruiformes;Mesitornithidae;Mesitornis;Mesitornis unicolor
54380;Eukaryota;Chordata;Aves;Cariamiformes;Cariamidae;Cariama;Cariama cristata
54383;Eukaryota;Chordata;Aves;Gruiformes;Eurypygidae;Eurypyga;Eurypyga helias
55291;Eukaryota;Chordata;Cladistia;Polypteriformes;Polypteridae;Polypterus;Polypterus senegalus
55661;Eukaryota;Chordata;Aves;Cuculiformes;Cuculidae;Cuculus;Cuculus canorus
56313;Eukaryota;Chordata;Aves;Strigiformes;Tytonidae;Tyto;Tyto alba
56716;Eukaryota;Chordata;Actinopteri;Perciformes;Bovichtidae;Cottoperca;Cottoperca gobio
56723;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Labrus;Labrus bergylta
57068;Eukaryota;Chordata;Aves;Passeriformes;Acanthisittidae;Acanthisitta;Acanthisitta chloris
57397;Eukaryota;Chordata;Aves;Trogoniformes;Trogonidae;Apaloderma;Apaloderma vittatum
57412;Eukaryota;Chordata;Aves;Coliiformes;Coliidae;Colius;Colius striatus
57421;Eukaryota;Chordata;Aves;Coraciiformes;Meropidae;Merops;Merops nubicus
59729;Eukaryota;Chordata;Aves;Passeriformes;Estrildidae;Taeniopygia;Taeniopygia guttata
59861;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;Coregonus clupeaformis
59894;Eukaryota;Chordata;Aves;Passeriformes;Muscicapidae;Ficedula;Ficedula albicollis
61221;Eukaryota;Chordata;Lepidosauria;Squamata;Varanidae;Varanus;Varanus komodoensis
63155;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Archocentrus;Archocentrus centrarchus
64144;Eukaryota;Chordata;Actinopteri;Anabantiformes;Anabantidae;Anabas;Anabas testudineus
64176;Eukaryota;Chordata;Lepidosauria;Squamata;Lacertidae;Podarcis;Podarcis muralis
68294;Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus kubaryi
72105;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes umbrosus
74926;Eukaryota;Chordata;;Testudines;Geoemydidae;Mauremys;Mauremys mutica
74940;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha
75038;Eukaryota;Chordata;Actinopteri;;Scatophagidae;Scatophagus;Scatophagus argus
75366;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinocyclocheilus;Sinocyclocheilus grahami
77115;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Cyprinodontidae;Cyprinodon;Cyprinodon tularosa
80427;Eukaryota;Chordata;Lepidosauria;Squamata;Lacertidae;Lacerta;Lacerta agilis
80966;Eukaryota;Chordata;Actinopteri;;Pomacentridae;Acanthochromis;Acanthochromis polyacanthus
80972;Eukaryota;Chordata;Actinopteri;;Pomacentridae;Amphiprion;Amphiprion ocellaris
84834;Eukaryota;Chordata;Aves;Passeriformes;Icteridae;Molothrus;Molothrus ater
85066;Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus brachyrhynchos
87175;Eukaryota;Chordata;Aves;Passeriformes;Thraupidae;Camarhynchus;Camarhynchus parvulus
88082;Eukaryota;Chordata;Lepidosauria;Squamata;Viperidae;Crotalus;Crotalus tigris
90988;Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Pimephales;Pimephales promelas
91951;Eukaryota;Chordata;Aves;Passeriformes;Turdidae;Catharus;Catharus ustulatus
93934;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Coturnix;Coturnix japonica
94827;Eukaryota;Chordata;Aves;Tinamiformes;Tinamidae;Tinamus;Tinamus guttatus
94835;Eukaryota;Chordata;;Crocodylia;Gavialidae;Gavialis;Gavialis gangeticus
94885;Eukaryota;Chordata;Lepidosauria;Squamata;Colubridae;Pantherophis;Pantherophis guttatus
97097;Eukaryota;Chordata;Aves;Pelecaniformes;Phaethontidae;Phaethon;Phaethon lepturus
925459;Eukaryota;Chordata;Aves;Gruiformes;Gruidae;Balearica;Balearica regulorum
103695;Eukaryota;Chordata;Lepidosauria;Squamata;Agamidae;Pogona;Pogona vitticeps
103944;Eukaryota;Chordata;Lepidosauria;Squamata;Viperidae;Protobothrops;Protobothrops mucrosquamatus
105023;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Nothobranchiidae;Nothobranchius;Nothobranchius furzeri
106582;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Maylandia;Maylandia zebra
106734;Eukaryota;Chordata;;Testudines;Testudinidae;Chelonoidis;Chelonoidis abingdonii
109280;Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Hippocampus;Hippocampus comes
109905;Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chelmon;Chelmon rostratus
113540;Eukaryota;Chordata;Actinopteri;Osteoglossiformes;Osteoglossidae;Scleropages;Scleropages formosus
114329;Eukaryota;Chordata;Aves;Passeriformes;Pipridae;Neopelma;Neopelma chrysocephalum
118141;Eukaryota;Chordata;Actinopteri;Elopiformes;Megalopidae;Megalops;Megalops cyprinoides
118200;Eukaryota;Chordata;Aves;Piciformes;Picidae;Dryobates;Dryobates pubescens
119488;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Siniperca;Siniperca chuatsi
120794;Eukaryota;Chordata;Aves;Falconiformes;Falconidae;Falco;Falco rusticolus
121530;Eukaryota;Chordata;Aves;Musophagiformes;Musophagidae;Tauraco;Tauraco erythrolophus
125878;Eukaryota;Chordata;Amphibia;Anura;Dicroglossidae;Nanorana;Nanorana parkeri
128390;Eukaryota;Chordata;Aves;Pelecaniformes;Threskiornithidae;Nipponia;Nipponia nippon
134920;Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Pungitius;Pungitius pungitius
144197;Eukaryota;Chordata;Actinopteri;;Pomacentridae;Stegastes;Stegastes partitus
146911;Eukaryota;Chordata;Lepidosauria;Squamata;Gekkonidae;Gekko;Gekko japonicus
147949;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Micropterus;Micropterus dolomieu
148594;Eukaryota;Chordata;Aves;Falconiformes;Falconidae;Falco;Falco naumanni
150288;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Boleophthalmus;Boleophthalmus pectinirostris
156563;Eukaryota;Chordata;Aves;Passeriformes;Paridae;Cyanistes;Cyanistes caeruleus
158456;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Betta;Betta splendens
160734;Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Plectropomus;Plectropomus leopardus
161584;Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;Syngnathus acus
164674;Eukaryota;Chordata;Aves;Passeriformes;Tyrannidae;Empidonax;Empidonax traillii
173247;Eukaryota;Chordata;Actinopteri;Carangiformes;Echeneidae;Echeneis;Echeneis naucrates
175835;Eukaryota;Chordata;Aves;Bucerotiformes;Bucerotidae;Buceros;Buceros rhinoceros
176057;Eukaryota;Chordata;Aves;Psittaciformes;Psittacidae;Nestor;Nestor notabilis
176946;Eukaryota;Chordata;Lepidosauria;Squamata;Pythonidae;Python;Python bivittatus
181119;Eukaryota;Chordata;Aves;Passeriformes;Paridae;Pseudopodoces;Pseudopodoces humilis
181472;Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Salarias;Salarias fasciatus
187382;Eukaryota;Chordata;Aves;Gruiformes;Otididae;Chlamydotis;Chlamydotis macqueenii
188344;Eukaryota;Chordata;Aves;Coraciiformes;Leptosomidae;Leptosomus;Leptosomus discolor
188379;Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;Egretta;Egretta garzetta
194338;Eukaryota;Chordata;Aves;Strigiformes;Strigidae;Athene;Athene cunicularia
194408;Eukaryota;Chordata;Amphibia;Gymnophiona;Rhinatrematidae;Rhinatrema;Rhinatrema bivittatum
195615;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis
198806;Eukaryota;Chordata;Aves;Charadriiformes;Scolopacidae;Calidris;Calidris pugnax
2696672;Eukaryota;Chordata;Aves;Apterygiformes;Apterygidae;Apteryx;Apteryx mantelli
