7741;Eukaryota;Chordata;Leptocardii;Amphioxiformes;Branchiostomidae;Branchiostoma;Branchiostoma belcheri
10224;Eukaryota;Hemichordata;Enteropneusta;;Harrimaniidae;Saccoglossus;Saccoglossus kowalevskii
10228;Eukaryota;Placozoa;;;Trichoplacidae;Trichoplax;Trichoplax adhaerens
12957;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Atta;Atta cephalotes
13164;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Myzus;Myzus persicae
13632;Eukaryota;Arthropoda;Insecta;Diptera;Calliphoridae;Lucilia;Lucilia sericata
13686;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Solenopsis;Solenopsis invicta
27405;Eukaryota;Arthropoda;Malacostraca;Decapoda;Penaeidae;Penaeus;Penaeus japonicus
27457;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Bactrocera;Bactrocera dorsalis
28584;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila suzukii
28588;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Zeugodacus;Zeugodacus cucurbitae
28610;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Rhagoletis;Rhagoletis pomonella
28612;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Rhagoletis;Rhagoletis zephyria
29029;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila eugracilis
29030;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila takahashii
29053;Eukaryota;Arthropoda;Insecta;Hymenoptera;Encyrtidae;Copidosoma;Copidosoma floridanum
29058;Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Helicoverpa;Helicoverpa armigera
29159;Eukaryota;Mollusca;Bivalvia;Ostreida;Ostreidae;Crassostrea;Crassostrea gigas
30019;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila busckii
30023;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila elegans
30025;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila ficusphila
30033;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila kikkawai
30066;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles merus
30069;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles stephensi
30195;Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus terrestris
30207;Eukaryota;Arthropoda;Insecta;Hymenoptera;Vespidae;Polistes;Polistes fuscatus
30213;Eukaryota;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespula;Vespula pensylvanica
31234;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;Caenorhabditis remanei
32260;Eukaryota;Arthropoda;Insecta;Hymenoptera;Ichneumonidae;Venturia;Venturia canescens
32264;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Tetranychidae;Tetranychus;Tetranychus urticae
32391;Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Cotesia;Cotesia glomerata
33412;Eukaryota;Arthropoda;Insecta;Lepidoptera;Pieridae;Zerene;Zerene cesonia
34506;Eukaryota;Nematoda;Chromadorea;Rhabditida;Strongyloididae;Strongyloides;Strongyloides ratti
34632;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus sanguineus
34638;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Phytoseiidae;Galendromus;Galendromus occidentalis
34720;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Trachymyrmex;Trachymyrmex septentrionalis
35525;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna
35570;Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Stomoxys;Stomoxys calcitrans
37344;Eukaryota;Arthropoda;Insecta;Hymenoptera;Tenthredinidae;Athalia;Athalia rosae
37621;Eukaryota;Priapulida;Priapulimorpha;Priapulimorphida;Priapulidae;Priapulus;Priapulus caudatus
37653;Eukaryota;Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;Octopus bimaculoides
38358;Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia coprophila
41117;Eukaryota;Arthropoda;Thecostraca;Pollicipedomorpha;Pollicipedidae;Pollicipes;Pollicipes pollicipes
41139;Eukaryota;Arthropoda;Insecta;Coleoptera;Coccinellidae;Coccinella;Coccinella septempunctata
41895;Eukaryota;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Tribolium;Tribolium madens
42026;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila bipectinata
7175;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex pipiens
43146;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Rhopalosiphum;Rhopalosiphum maidis
45264;Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;Acropora millepora
45351;Eukaryota;Cnidaria;Anthozoa;Actiniaria;Edwardsiidae;Nematostella;Nematostella vectensis
46514;Eukaryota;Echinodermata;Asteroidea;Valvatida;Asterinidae;Patiria;Patiria miniata
46731;Eukaryota;Cnidaria;Anthozoa;Scleractinia;Pocilloporidae;Pocillopora;Pocillopora damicornis
47314;Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila novamexicana
48498;Eukaryota;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Orbicella;Orbicella faveolata
50389;Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Diabrotica;Diabrotica virgifera
50429;Eukaryota;Cnidaria;Anthozoa;Scleractinia;Pocilloporidae;Stylophora;Stylophora pistillata
51031;Eukaryota;Nematoda;Chromadorea;Strongylida;Ancylostomatidae;Necator;Necator americanus
51655;Eukaryota;Arthropoda;Insecta;Lepidoptera;Plutellidae;Plutella;Plutella xylostella
59916;Eukaryota;Arthropoda;Insecta;Diptera;Tephritidae;Bactrocera;Bactrocera tryoni
62625;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa jacobsoni
63436;Eukaryota;Arthropoda;Insecta;Hymenoptera;Figitidae;Leptopilina;Leptopilina heterotoma
64459;Eukaryota;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;Pieris rapae
64791;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Trachymyrmex;Trachymyrmex zeteki
64793;Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Wasmannia;Wasmannia auropunctata
64838;Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Fopius;Fopius arisanus
66420;Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Papilio;Papilio xuthus
69319;Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Microplitis;Microplitis demolitor
69820;Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Spodoptera;Spodoptera litura
70779;Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;Acropora digitifera
